Name,Full Name,Match Type,Batting Average,Batting Strike Rate,Bowling Average,Bowling Strike Rate,Bowling Economy Rate
Kuldeep Yadav,Kuldeep Yadav,ODI,12.8,59.0,23.9,28.9,4.96
Kuldeep Yadav,Kuldeep Yadav,T20,8.8,81.5,28.8,21.0,8.22
YS Chahal,Yuzvendra Chahal,ODI,6.5,54.2,26.4,31.3,5.07
YS Chahal,Yuzvendra Chahal,T20,4.2,47.2,22.9,17.8,7.72
KM Jadhav,Kedar Jadhav,ODI,44.4,101.5,37.4,43.7,5.13
KM Jadhav,Kedar Jadhav,T20,23.5,126.5,0,0,0
S Dhawan,Shikhar Dhawan,ODI,44.9,94.0,0,0,0
S Dhawan,Shikhar Dhawan,T20,33.4,124.6,16.5,12.0,8.25
RG Sharma,Rohit Sharma,ODI,47.7,88.7,64.5,74.1,5.22
RG Sharma,Rohit Sharma,T20,31.7,130.6,30.3,22.9,7.94
V Kohli,Virat Kohli,ODI,60.0,93.3,166.8,160.2,6.24
V Kohli,Virat Kohli,T20,37.9,132.9,116.0,77.0,9.04
KL Rahul,Lokesh Rahul,ODI,39.1,79.1,0,0,0
KL Rahul,Lokesh Rahul,T20,42.0,138.3,0,0,0
T Shamsi,Tabraiz Shamsi,ODI,0.0,0.0,42.0,46.3,5.45
T Shamsi,Tabraiz Shamsi,T20,4.0,54.5,22.9,18.8,7.30
MS Dhoni,MS Dhoni,ODI,47.6,87.8,31.0,36.0,5.17
MS Dhoni,MS Dhoni,T20,40.7,138.4,0,0,12.50
KS Williamson,Kane Williamson,ODI,47.6,81.8,35.4,39.7,5.35
KS Williamson,Kane Williamson,T20,33.8,130.6,14.7,14.0,6.29
LRPL Taylor,Ross Taylor,ODI,46.5,82.7,0,0,5.00
LRPL Taylor,Ross Taylor,T20,28.9,122.5,0,0,12.00
TWM Latham,Tom Latham,ODI,32.3,82.4,0,0,0
TWM Latham,Tom Latham,T20,30.7,135.0,0,0,0
AT Carey,Alex Carey,ODI,40.2,92.0,0,0,0
AT Carey,Alex Carey,T20,37.0,136.1,0,0,0
AR Nurse,Ashley Nurse,ODI,19.3,97.9,43.3,48.6,5.35
AR Nurse,Ashley Nurse,T20,17.6,132.1,34.9,26.0,8.05
E Lewis,Evin Lewis,ODI,34.8,84.1,0,0,0
E Lewis,Evin Lewis,T20,30.7,142.4,0,0,10.00
Noor Ali Zadran,Noor Ali Zadran,ODI,23.8,63.1,0,0,0
Noor Ali Zadran,Noor Ali Zadran,T20,0,0,0,0,0
Ikram Alikhil,Ikram Alikhil,ODI,28.4,57.7,0,0,0
Ikram Alikhil,Ikram Alikhil,T20,0,0,0,0,0
Aftab Alam,Aftab Alam,ODI,11.4,74.8,25.2,30.6,4.94
Aftab Alam,Aftab Alam,T20,0,0,0,0,0
KAJ Roach,Kemar Roach,ODI,14.7,53.7,30.5,36.0,5.10
KAJ Roach,Kemar Roach,T20,7.0,112.0,43.4,31.8,8.19
Shaheen Shah Afridi,Shaheen Afridi,ODI,21.0,65.6,21.2,23.1,5.50
Shaheen Shah Afridi,Shaheen Afridi,T20,1.6,33.3,25.6,18.3,8.41
SE Marsh,Shaun Marsh,ODI,40.9,81.6,0,0,0
SE Marsh,Shaun Marsh,T20,41.1,129.2,0,0,0
KW Richardson,Kane Richardson,ODI,10.2,91.1,31.2,33.6,5.57
KW Richardson,Kane Richardson,T20,16.7,116.6,23.8,17.7,8.04
ST Gabriel,Shannon Gabriel,ODI,3.4,38.1,34.2,34.8,5.91
ST Gabriel,Shannon Gabriel,T20,3.0,54.5,26.6,19.6,8.16
TAM Siriwardana,Milinda Siriwardana,ODI,22.4,98.3,61.2,68.0,5.40
TAM Siriwardana,Milinda Siriwardana,T20,10.2,110.8,72.0,54.0,8.00
JP Behrendorff,Jason Behrendorff,ODI,9.5,126.7,32.3,36.9,5.25
JP Behrendorff,Jason Behrendorff,T20,15.2,107.0,22.6,18.7,7.23
BE Hendricks,Beuran Hendricks,ODI,0,25.0,106.0,126.0,5.05
BE Hendricks,Beuran Hendricks,T20,2.0,50.0,21.0,15.1,8.35
